Threads   SerialFrac     TheoricalF     AbsDiff        
1         1              0.215665       0.784335       
2         8.27175        0.177435       8.09431        
Threads   SerialFrac     TheoricalF     AbsDiff        
1         1              0.237524       0.762476       
Threads   SerialFrac     TheoricalF     AbsDiff        
1         1              0.499658       0.500342       
2         0.41172        0.586214       0.174494       
4         0.408798       0.642426       0.233629       
8         0.497116       0.641035       0.143919       
Threads   SerialFrac     TheoricalF     AbsDiff        
1         1              0.502327       0.497673       
2         0.391899       0.58964        0.197741       
4         0.403402       0.644101       0.240699       
8         0.461048       0.654272       0.193224       
Threads   SerialFrac     TheoricalF     AbsDiff        
1         1              0.499485       0.500515       
2         0.403149       0.587691       0.184542       
4         0.412538       0.641271       0.228733       
8         0.575701       0.613972       0.0382717      
Threads   SerialFrac     TheoricalF     AbsDiff        
1         1              0.503706       0.496294       
2         0.376254       0.592373       0.216119       
4         0.41954        0.639119       0.219579       
8         0.527482       0.6303         0.102817       
Threads   SerialFrac     TheoricalF     AbsDiff        
1         1              0.502209       0.497791       
2         0.429953       0.583098       0.153146       
4         0.416246       0.640129       0.223884       
8         0.529098       0.629738       0.10064        
Threads   SerialFrac     TheoricalF     AbsDiff        
1         1              0.500336       0.499664       
2         0.406839       0.587054       0.180215       
4         0.425219       0.637383       0.212164       
8         0.698494       0.575976       0.122518       
Threads   SerialFrac     TheoricalF     AbsDiff        
1         1              0.501107       0.498893       
2         0.435778       0.58211        0.146332       
4         0.409913       0.642082       0.232169       
8         0.495131       0.64175        0.146619       
