Paso K U E_Total
0 7.25548e-05 -6671.77 -6671.77
1 0.000290219 -6671.77 -6671.77
2 0.000652994 -6671.77 -6671.77
3 0.00116088 -6671.77 -6671.77
4 0.00181388 -6671.77 -6671.77
5 0.00261199 -6671.77 -6671.77
6 0.00355522 -6671.77 -6671.77
7 0.00464357 -6671.77 -6671.77
8 0.00587703 -6671.77 -6671.77
9 0.00725563 -6671.77 -6671.77
10 0.00877935 -6671.78 -6671.77
11 0.0104482 -6671.78 -6671.77
12 0.0122622 -6671.78 -6671.77
13 0.0142213 -6671.78 -6671.77
14 0.0163256 -6671.78 -6671.77
15 0.018575 -6671.79 -6671.77
16 0.0209696 -6671.79 -6671.77
17 0.0235093 -6671.79 -6671.77
18 0.0261942 -6671.79 -6671.77
19 0.0290243 -6671.8 -6671.77
