# Paso ID Masa X Y Vx Vy
0 0 78.18940876 183.43478813 796.54298376 0.00002364 -0.00005243
0 1 10.89751713 445.83275856 596.85016081 0.00010134 -0.00007745
0 2 15.14381463 333.70861457 459.24888745 0.00030468 -0.00004034
0 3 72.47787839 56.41157723 650.88847296 0.00007711 -0.00004694
0 4 99.22894486 0.77876537 938.55271393 0.00005984 -0.00004459
0 5 1.69956456 611.65316230 617.48151030 -0.00001706 0.00028991
0 6 40.58623680 524.77466158 23.06242956 -0.00002433 0.00009965
0 7 24.04436270 973.75552212 46.66566868 -0.00003464 0.00003969
0 8 38.86373701 618.38601408 90.60643607 -0.00007052 0.00005270
0 9 86.13409991 466.76289934 983.23088489 0.00007098 -0.00010419
0 10 2.31323085 450.49925407 680.30753912 0.00006849 0.00002679
0 11 39.15623412 563.28822046 942.20175386 0.00053852 -0.00004357
0 12 24.86152145 230.89381563 15.96625843 -0.00051542 0.00010496
0 13 83.48629641 609.99665747 683.26352490 0.00007855 0.00005959
0 14 19.04137260 391.06060859 173.36464561 -0.00009923 -0.00015971
0 15 21.58622472 425.15587794 755.36140851 0.00004973 -0.00003424
0 16 84.38619253 31.31329278 567.70032813 0.00009820 0.00008573
0 17 92.73922736 395.15023163 449.75412615 -0.00000153 -0.00029581
0 18 57.47395362 326.54077201 727.27199611 0.00003870 -0.00000004
0 19 84.60885120 961.17202791 520.83426638 -0.00007796 0.00003552
0 20 59.08836569 539.69213130 747.32011106 0.00017605 0.00000555
0 21 28.32391921 607.03424489 965.25529985 -0.00051051 -0.00109969
0 22 2.54800409 165.26694223 296.27350662 0.00007420 0.00003406
0 23 30.05532946 394.88151696 423.40148848 0.00000848 0.00114319
0 24 71.42285296 198.84240607 14.07982460 0.00028680 0.00009731
0 25 92.70378692 605.95997956 790.17553448 -0.00009024 -0.00009436
0 26 85.15381895 914.95967485 651.07703016 -0.00005800 -0.00003790
0 27 37.71100725 95.41011591 449.45067476 -0.00001859 0.00003849
0 28 59.53848078 665.92234946 668.84125834 -0.00027263 0.00012745
0 29 38.90976057 561.24342253 274.72179049 -0.00004667 -0.00009281
0 30 72.45122229 848.91381858 971.71209287 -0.00006494 -0.00004899
0 31 5.00292559 256.06832252 235.98492052 0.00002325 0.00012609
0 32 44.49431423 110.89082660 710.66288928 0.00000531 -0.00006033
0 33 48.06165225 895.76359780 201.71920662 -0.00003521 0.00003076
0 34 14.79381392 695.51607966 563.27557590 -0.00008226 0.00011155
0 35 21.10306174 539.84108894 604.41737818 -0.00000873 0.00005054
0 36 69.78370867 598.86546401 942.85357492 -0.00017363 0.00020835
0 37 30.26773512 624.35404276 880.46783871 -0.00016608 0.00002984
0 38 22.62560342 456.53457031 105.49425878 -0.00006763 0.00006341
0 39 33.11015721 883.28026167 416.50994633 -0.00001942 0.00006428
0 40 90.77601631 356.29784187 122.08795399 0.00003620 0.00006551
0 41 1.05151728 647.69012231 272.13224783 -0.00011560 0.00001170
0 42 17.30092920 304.78125945 352.56885353 0.00006731 0.00006247
0 43 69.55116717 484.82997623 534.08942283 -0.00003197 0.00003969
0 44 17.66081356 244.12552137 269.41233340 0.00007180 -0.00000114
0 45 40.97978112 558.10200192 218.76422428 -0.00003360 0.00012768
0 46 25.44073031 253.91541245 64.89224597 -0.00003637 -0.00007368
0 47 15.66060595 712.27058501 696.30426976 -0.00032495 -0.00008354
0 48 97.68488029 266.78101615 997.74048949 0.00003558 -0.00007094
0 49 35.16205361 33.05073707 411.03702028 0.00011158 0.00009455

1 0 78.18940876 183.43478860 796.54298272 0.00004727 -0.00010485
1 1 10.89751713 445.83276059 596.85015926 0.00020269 -0.00015490
1 2 15.14381463 333.70862066 459.24888664 0.00060937 -0.00008068
1 3 72.47787839 56.41157878 650.88847202 0.00015421 -0.00009389
1 4 99.22894486 0.77876656 938.55271304 0.00011969 -0.00008918
1 5 1.69956456 611.65316196 617.48151610 -0.00003412 0.00057983
1 6 40.58623680 524.77466109 23.06243155 -0.00004865 0.00019930
1 7 24.04436270 973.75552143 46.66566948 -0.00006927 0.00007938
1 8 38.86373701 618.38601266 90.60643712 -0.00014103 0.00010539
1 9 86.13409991 466.76290076 983.23088281 0.00014196 -0.00020838
1 10 2.31323085 450.49925544 680.30753966 0.00013697 0.00005358
1 11 39.15623412 563.28823123 942.20175299 0.00107705 -0.00008714
1 12 24.86152145 230.89380532 15.96626053 -0.00103083 0.00020991
1 13 83.48629641 609.99665904 683.26352609 0.00015709 0.00011918
1 14 19.04137260 391.06060661 173.36464242 -0.00019846 -0.00031942
1 15 21.58622472 425.15587893 755.36140782 0.00009947 -0.00006847
1 16 84.38619253 31.31329474 567.70032984 0.00019640 0.00017146
1 17 92.73922736 395.15023160 449.75412024 -0.00000305 -0.00059162
1 18 57.47395362 326.54077278 727.27199611 0.00007741 -0.00000009
1 19 84.60885120 961.17202635 520.83426709 -0.00015592 0.00007104
1 20 59.08836569 539.69213482 747.32011117 0.00035209 0.00001111
1 21 28.32391921 607.03423468 965.25527785 -0.00102102 -0.00219939
1 22 2.54800409 165.26694371 296.27350730 0.00014841 0.00006812
1 23 30.05532946 394.88151713 423.40151134 0.00001696 0.00228638
1 24 71.42285296 198.84241181 14.07982654 0.00057360 0.00019462
1 25 92.70378692 605.95997776 790.17553259 -0.00018048 -0.00018873
1 26 85.15381895 914.95967369 651.07702941 -0.00011601 -0.00007579
1 27 37.71100725 95.41011554 449.45067553 -0.00003718 0.00007697
1 28 59.53848078 665.92234401 668.84126089 -0.00054526 0.00025490
1 29 38.90976057 561.24342160 274.72178863 -0.00009335 -0.00018561
1 30 72.45122229 848.91381728 971.71209189 -0.00012988 -0.00009797
1 31 5.00292559 256.06832299 235.98492304 0.00004649 0.00025217
1 32 44.49431423 110.89082670 710.66288807 0.00001063 -0.00012065
1 33 48.06165225 895.76359710 201.71920724 -0.00007042 0.00006151
1 34 14.79381392 695.51607801 563.27557813 -0.00016452 0.00022311
1 35 21.10306174 539.84108877 604.41737919 -0.00001746 0.00010109
1 36 69.78370867 598.86546054 942.85357908 -0.00034725 0.00041670
1 37 30.26773512 624.35403944 880.46783931 -0.00033215 0.00005968
1 38 22.62560342 456.53456896 105.49426004 -0.00013526 0.00012681
1 39 33.11015721 883.28026128 416.50994762 -0.00003884 0.00012856
1 40 90.77601631 356.29784259 122.08795530 0.00007239 0.00013103
1 41 1.05151728 647.69012000 272.13224806 -0.00023121 0.00002340
1 42 17.30092920 304.78126079 352.56885478 0.00013461 0.00012494
1 43 69.55116717 484.82997559 534.08942363 -0.00006395 0.00007937
1 44 17.66081356 244.12552281 269.41233337 0.00014360 -0.00000228
1 45 40.97978112 558.10200125 218.76422683 -0.00006720 0.00025536
1 46 25.44073031 253.91541172 64.89224449 -0.00007275 -0.00014736
1 47 15.66060595 712.27057852 696.30426808 -0.00064990 -0.00016709
1 48 97.68488029 266.78101686 997.74048807 0.00007117 -0.00014188
1 49 35.16205361 33.05073931 411.03702217 0.00022315 0.00018910

2 0 78.18940876 183.43478931 796.54298114 0.00007091 -0.00015728
2 1 10.89751713 445.83276363 596.85015693 0.00030403 -0.00023235
2 2 15.14381463 333.70862980 459.24888543 0.00091405 -0.00012102
2 3 72.47787839 56.41158109 650.88847061 0.00023132 -0.00014083
2 4 99.22894486 0.77876836 938.55271170 0.00017953 -0.00013378
2 5 1.69956456 611.65316145 617.48152480 -0.00005118 0.00086975
2 6 40.58623680 524.77466036 23.06243454 -0.00007298 0.00029895
2 7 24.04436270 973.75552039 46.66567067 -0.00010391 0.00011906
2 8 38.86373701 618.38601055 90.60643870 -0.00021155 0.00015809
2 9 86.13409991 466.76290289 983.23087968 0.00021294 -0.00031258
2 10 2.31323085 450.49925750 680.30754046 0.00020546 0.00008037
2 11 39.15623412 563.28824739 942.20175168 0.00161557 -0.00013071
2 12 24.86152145 230.89378985 15.96626368 -0.00154625 0.00031487
2 13 83.48629641 609.99666140 683.26352788 0.00023564 0.00017876
2 14 19.04137260 391.06060363 173.36463762 -0.00029769 -0.00047913
2 15 21.58622472 425.15588043 755.36140679 0.00014920 -0.00010271
2 16 84.38619253 31.31329769 567.70033241 0.00029461 0.00025718
2 17 92.73922736 395.15023156 449.75411136 -0.00000458 -0.00088744
2 18 57.47395362 326.54077394 727.27199611 0.00011611 -0.00000013
2 19 84.60885120 961.17202401 520.83426815 -0.00023387 0.00010656
2 20 59.08836569 539.69214010 747.32011133 0.00052814 0.00001666
2 21 28.32391921 607.03421936 965.25524486 -0.00153153 -0.00329909
2 22 2.54800409 165.26694594 296.27350832 0.00022261 0.00010218
2 23 30.05532946 394.88151738 423.40154564 0.00002544 0.00342957
2 24 71.42285296 198.84242041 14.07982946 0.00086040 0.00029193
2 25 92.70378692 605.95997505 790.17552976 -0.00027072 -0.00028309
2 26 85.15381895 914.95967195 651.07702827 -0.00017401 -0.00011369
2 27 37.71100725 95.41011498 449.45067669 -0.00005578 0.00011546
2 28 59.53848078 665.92233583 668.84126471 -0.00081789 0.00038235
2 29 38.90976057 561.24342020 274.72178585 -0.00014002 -0.00027842
2 30 72.45122229 848.91381533 971.71209042 -0.00019482 -0.00014696
2 31 5.00292559 256.06832368 235.98492682 0.00006974 0.00037826
2 32 44.49431423 110.89082686 710.66288626 0.00001594 -0.00018098
2 33 48.06165225 895.76359604 201.71920816 -0.00010563 0.00009227
2 34 14.79381392 695.51607555 563.27558147 -0.00024677 0.00033466
2 35 21.10306174 539.84108850 604.41738071 -0.00002618 0.00015163
2 36 69.78370867 598.86545533 942.85358533 -0.00052088 0.00062505
2 37 30.26773512 624.35403446 880.46784020 -0.00049823 0.00008952
2 38 22.62560342 456.53456693 105.49426195 -0.00020289 0.00019022
